"name","number"
"contributable_neonblueguppy",0.981727862264961
"radiation_gartersnake",0.297010735142976
"noble_sora",0.115084075368941
"compressive_bedbug",0.163200871786103
"unspiritual_fawn",0.944041808135808
"unspherical_iberianchiffchaff",0.794863823568448
"chatty_beardeddragon",0.974687897600234
"sulfurous_flatcoatretriever",0.349088410614058
"inexperienced_wrenchbird",0.501969880890101
"minimum_bagworm",0.810397262685001
"misty_affenpinscher",0.00710903806611896
"depraved_blackandtancoonhound",0.0146939109545201
"semidry_shark",0.683403422823176
"contemplable_tamarin",0.929720221785828
"gray_indigobunting",0.27540119853802
"taxidermal_minnow",0.811859695473686
"wearing_springbok",0.785878912778571
"declinational_deermouse",0.988902155542746
"hyperbrutal_newtnutria",0.613952909596264
"bediasite_bedbug",0.710185730131343
